title,label
US Secret Service officer arrested during prostitution sting,not-clickbait
Mexico City legalises gay marriages,not-clickbait
19 Michael Scott Moments Guaranteed To Make You Laugh,clickbait
Twelve injured in Washington after ride at fair topples over,not-clickbait
"St. Lucian footballer Philip Tisson shot dead in Brooklyn, New York",not-clickbait
European Union Looks to Tighten Banking Supervision,not-clickbait
"Australian man allegedly ignites carpet, plastic with static electricity",not-clickbait
Preparing for a Flood of Energy Efficiency Spending,not-clickbait
What's Your Favorite Book With A Great LGBT Lead Character,clickbait
27 Brilliant Books You Must Read This Winter,clickbait
"Magnitude seven earthquake hits Japan, tsunami warning issued then withdrawn",not-clickbait
Awkward Selfie Stick Prank,clickbait
"Aaron Boone, a Yankee Hero in 2003, Faces Heart Surgery",not-clickbait
Eight mountaineers missing on Mont Blanc in French Alps after avalanche,not-clickbait
University of Wales to close down after 120 years,not-clickbait
Government Accountability Office requests rerun of US Air Force tanker bid,not-clickbait
19 Ways You Know You're Friends With A Teacher,clickbait
Golf Injury? Know the Rules of Thump,not-clickbait
Farmers block main road in South Italy,not-clickbait
President of Kosovo Fatmir Sejdiu resigns over breach of constitution,not-clickbait
16 Indie Songs From The Early 2000s You Totally Forgot About,clickbait
US says polar bears are threatened species,not-clickbait
How To Make A Graveyard-Themed Dessert Dip For Halloween,clickbait
Do You Actually Know Which Celebs Wrote These Poems,clickbait
Which Is Better? Star Trek Vs Star Wars,clickbait
29 Camping Recipes That'll Make You Look Like A Genius,clickbait
17 Creepy London Walks You Must Take,clickbait
"We Need To Talk About That Big Death On ""Once Upon A Time""",clickbait
13 Things Ruby Rose Looked Like At The MTV EMAs,clickbait
Rivals Accuse I.B.M. of Stifling Competition to Mainframes,not-clickbait
US Air Force jet crashes in California,not-clickbait
Kidnapped Romanian journalists return home,not-clickbait
Joran van der Sloot charged with murder of Peruvian woman,not-clickbait
"7.9 magnitude earthquake strikes near Tonga, tsunami generated",not-clickbait
Eurostar train service moves to new London terminal,not-clickbait
Courts uphold firing of Pennsylvania cop who lost sense of smell,not-clickbait
26 Times Ellen DeGeneres Scared The Crap Out Of Famous People,clickbait
Aircraft wreckage in Atlantic confirmed to be that of missing Air France flight,not-clickbait
What Does Your Favorite Color Scheme Say About You,clickbait
Cafe Experience Is Shifting to the Home,not-clickbait
This Little Kid Perfectly Directing Traffic In The Middle Of A Jam Should Be Your New Hero,clickbait
American-born terrorist gets 24 years,not-clickbait
Bonds Judge Wants to Question Anderson,not-clickbait
Suicides of Soldiers Reach High of Nearly 3 Decades,not-clickbait
G.M. Picks Michigan to Build Small Car,not-clickbait
13 Pictures Which Will Convince You To Get A Maa Tattoo In Hindi Right Now,clickbait
Review Panel Hears Rival Plans for New Spaceflights,not-clickbait
This Baby Shower Card Won't Stop Crying For Hours After You Open It,clickbait
Runaway train causes chaos on London Underground,not-clickbait
10 Rare Pepe Gifts That'll Prove You're Not A Normie,clickbait
US actor Patrick McGoohan dead at age 80,not-clickbait
24 Reasons Cara Delevigne Is The Boss Of Instagram,clickbait
Cargo Vessel grounded South of Gibraltar,not-clickbait
Samsung releases its first tablet computer,not-clickbait
The Struggles Of Being An Android User In An iPhone World,clickbait
Confidential EU report about Israels annexation of East Jerusalem,not-clickbait
"Knicks Rout Grizzles, Extending Win Streak to Three Games",not-clickbait
"39 Amazing Things That Will Make You Fall In Love With Portland, Maine",clickbait
17 Just Great Looking Dogs,clickbait
26 Of The Most Dangerous Things Pit Bulls Did In 2015,clickbait
The Try Guys Watch K-Pop For The First Time,clickbait
What's Your Fuck Style,clickbait
"28 Reasons Absolutely Everyone Hates Hamilton, Ontario",clickbait
Somalia food hijackers make new demands,not-clickbait
Sealing in New Delhi put off until Monday,not-clickbait
"If You're Excited For The New ""Star Wars"" Movie You Have To See This Art",clickbait
Right-to-die activists reveal euthanasia for Dutch patient with severe dementia,not-clickbait
Iraqi Lawmakers Delay Naming a New Speaker,not-clickbait
13 dead as cargo plane crashes in Congo,not-clickbait
"The Cast Of ""Pretty Little Liars"" Think The Wine Moms Are Still In The Basement",clickbait
"A Swiss Village Has Peace, Quiet and a Product Endorsed by Marilyn Manson",not-clickbait
This Color Test Will Tell You Which Makeup Brand To Use,clickbait
Which Halsey Song Are You,clickbait
Microsoft waits for death of Internet Explorer 6,not-clickbait
Thousands demand climate change action,not-clickbait
U.S. Weighs Sharif as Partner in Pakistan,not-clickbait
Severe heat wave blankets northeastern US,not-clickbait
"Israeli president shakes hands with leaders of Syria, Iran at Pope's funeral",not-clickbait
African Union considers proposal to resettle Haitians,not-clickbait
Authorities arrest 7 state officials over Mexico childcare centre fire,not-clickbait
27 Faces Anyone Who Has To Serve Customers Will Understand,clickbait
New Zealand pilots receive bravery awards for foiling airliner hijack,not-clickbait
Which Anna Kendrick Character Are You,clickbait
"U.S. to Confront, Not Board, North Korean Ships",not-clickbait
"Here's What Happens When You Watch Too Many ""Sherlock"" Episodes, And Annoy Your Mom",clickbait
Poisoned liquor kills 17 in Kenyan slum,not-clickbait
16 Times Chris Martin Was Really Just An Excited Puppy,clickbait
"Oleg Yankovsky, prominent Russian actor, dies at age 65",not-clickbait
"26 ""Harry Potter"" Quotes Made Hilarious By Replacing ""Wand"" With ""Penis""",clickbait
17 Images You Won't Be Able To Unsee,clickbait
"For the Honda Brand, a Cinematic Stroke",not-clickbait
Russia agrees to construct Turkish nuclear reactor,not-clickbait
Fire in Universal Studios backlot,not-clickbait
Here's What This 23-Year-Old Learned From Talking About Her Herpes,clickbait
Suspected US missile strike kills eight Taliban fighters,not-clickbait
White House Gives Upbeat Forecast for Economy,not-clickbait
This Toddler Headbanging And Air Drumming To His Favourite Band Is The Cutest Thing You'll See Today,clickbait
"34 Reasons ""How I Met Your Mother"" Was The Cleverest Show On TV",clickbait
Spy Tale Roils Muddied Waters in Cup Dispute,not-clickbait
Russian ICBM test launch failed again,not-clickbait
U.S. Is Pressed to Add Billions to Bailouts,not-clickbait
UK Chancellor of the Exchequer makes 2005 Budget speech,not-clickbait
What Should Your Last-Minute Halloween Costume Be Based On Three Questions,clickbait
South Africa reopens beaches after fatal shark attack,not-clickbait
Aggravating Air Travel Mishaps,clickbait
Lyneham air base in England given all clear after bomb scare,not-clickbait
Chris Evans And Hayley Atwell Helped Two Fans Get Engaged,clickbait
Here Are The Reasons Why Plus-Size Women Don't Care That You Think We're Fat,clickbait
This Is What Dating Looks Like Early On Vs. After A Long Time,clickbait
Dave Grohl's Red Solo Cup Was The Best Part Of The Grammys,clickbait
Merck & Co. found liable for $253.4 million in Texas man's Vioxx-related death,not-clickbait
Work From Stimulus Package to Add Some Speed to Trains,not-clickbait
Ben Folds performs at Western Connecticut State University,not-clickbait
17 Roommates Who Can't Wait To Move Out,clickbait
9 Fanfiction Pairings We Ship Even Harder Around Valentines Day,clickbait
17 Things Confident Plus-Size Women Have To Deal With,clickbait
This Behind The Scenes Footage Of Ted Cruz's Campaign Is So Brilliantly Awkward,clickbait
An Adorable Animals Advent Calendar: December 16,clickbait
Wildfires started by lightning burn in California,not-clickbait
Oldest living European person reaches age 114,not-clickbait
Grandparents Give Love Advice,clickbait
What Does Your Favorite Pop Diva Say About You,clickbait
Space Shuttle Discovery resumes rollout to launch pad,not-clickbait
Afghan president accepts runoff vote; UN seeks to fire 200 officials,not-clickbait
"In Book, Radomski Talks About Dealing Drugs and Dealing With Mitchell",not-clickbait
Little Room to Maneuver on Budget for Britain,not-clickbait
Crime Ring Accused of 82 Fraudulent Home Sales,not-clickbait
We Know How You Should Spend Your Valentine's Day Based On Your Favourite Justin,clickbait
Why Trying To Be Cool Is Pointless,clickbait
When the Real Estate Game Cost $9.95,not-clickbait
22 Facts That Prove The World Is Stranger Than You Think,clickbait
18 Secrets Coffee Lovers Will Never Tell You,clickbait
Suicide bomber strikes Israeli coastal town,not-clickbait
Emerging Markets Regain Their Footing,not-clickbait
11 Things To Do When Somebody Dumps You Shittily,clickbait
"We Have To Ask You About ""The Voice"" Last Night",clickbait
Kremlin Critic on Ballot in Olympic City,not-clickbait
"Buffalo, New York man shot in head, run over by shooter's car",not-clickbait
"Skype launches ""Unlimited"" monthly service to change communication style",not-clickbait
14 Reasons Every College Student Deserves A Gold Star,clickbait
"Sea lions take over dock at Moss Landing, California",not-clickbait
"It Looks Like Paris And Doyle Are Still Together In The ""Gilmore Girls"" Revival",clickbait
19 Of The Stupidest Ways People Have Broken Their Laptops,clickbait
We Can Predict Your Future Based On What You've Never Heard Of Before,clickbait
24 People Who Deserve A Promotion In Life,clickbait
Van Gogh painting stolen again,not-clickbait
Released video: Israeli soldier shoot bound man at short range,not-clickbait
Samsung to sell dual-standard DVD player,not-clickbait
British Chancellor George Osborne downgrades growth forecast in annual budget,not-clickbait
How Much Crap Do You Have In Your Drawer Full Of Crap,clickbait
Bid for Madoff Trading Unit Is $15 Million,not-clickbait
"Dial-a-Mattress, in Bankruptcy, Will Sell to Rival",not-clickbait
"Gwen Stefani Adds Fire To Those Blake Shelton Dating Rumors: ""He's Hot""",clickbait
Child virus outbreak reaches Beijing,not-clickbait
2010 BRIT Awards highlights,not-clickbait
29 Professions That Will Make Your Parents Proud,clickbait
Turning to the Public for Advice on a Budget,not-clickbait
Thai prime minister dismisses offer by anti-government protesters,not-clickbait
Ulcer researchers awarded '05 Nobel Prize,not-clickbait
This Is What Adulthood Looks Like According To Stock Photos,clickbait
Budget Woes Expose Rifts Over Tobacco Money,not-clickbait
19 Easy Hot Lunch Ideas That Will Warm Up Your Freezing Office,clickbait
U.S. House votes to renew expiring Patriot Act,not-clickbait
Regulator bans UK video-on-demand service,not-clickbait
Palestinian Official Killed in Lebanon,not-clickbait
These High School Students Just Shut It Down With This Epic Lip Dub Video,clickbait
Australian resort manager faces possible 10-year prison sentence in Indonesia,not-clickbait
Kimi Räikkönen will start from pole of 2007 Australian GP,not-clickbait
"Which TV Show Is This ""G"" From",clickbait
Let Michael Ian Black Help You Be A Better Grown Up,clickbait
25 Adorable Presidential Pet Photos That Will Melt Your Heart,clickbait
Suspected serial killer appears in British court,not-clickbait
Yemeni troops search for missing hostages,not-clickbait
"Which ""Star Wars"" Villain Are You",clickbait
Partizan Belgrade kicked out of 2007/08 UEFA Cup,not-clickbait
"In April, Fed Weighed Purchase of More Debt",not-clickbait
26 Tweets That Catholics Will Find Sinfully Funny,clickbait
Jennifer Lawrence Wrote A Refreshingly Honest Essay On The Hollywood Gender Pay Gap,clickbait
Strike Reportedly Missed Chief of Pakistani Taliban by Hours,not-clickbait
Thai-Cambodian generals in talks after border clash kills two,not-clickbait
Animal Control Investigated Kylie Jenner Over Her Dogs' Weight,clickbait
These Students Honored Veterans By Carrying Their Coffins,clickbait
ConocoPhillips Reports a Fourth-Quarter Loss,not-clickbait
"Kanye West Perfectly Responded To Drake's ""Nice Pool"" Lyric",clickbait
This Insane Website Will Fulfill All Your Christmas Wishes,clickbait
Hundreds dead in Hajj stampede,not-clickbait
"Phoebe From ""Friends"" Is Literally The Fucking Worst",clickbait
35 Things That Are Totally Memory Triggers For '80s Kids,clickbait
United Airlines flight makes emergency landing at Newark Airport,not-clickbait
Viacom Profit Falls 69% as Revenue Remains Flat,not-clickbait
What Was Your Name In Your Previous Life,clickbait
11 Bad Sex Confessions,clickbait
Two winners confirmed in US 'Mega Millions' jackpot,not-clickbait
This Is What It Looks Like To Skateboard Down A Road At 70 MPH,clickbait
English Club Is Accused of Helping Bitter Enemy,not-clickbait
"Wildfire affects Lolol, Chile area; yellow alert lifted",not-clickbait
Bombmaking materials found near farm of Colombian President Alvaro Uribe,not-clickbait
24 Spectacular One-Tier Wedding Cakes,clickbait
Justice Iftikhar Muhammad Chaudhry reinstated as Chief Justice of Pakistan,not-clickbait
Are You More Like Salem Or Binx,clickbait
"Are You More Nickelodeon's ""Doug"" Or Disney's ""Doug""",clickbait
19 Tooth Fairy Ideas That Are Borderline Genius,clickbait
"On This Tour, No Breakaways",not-clickbait
Microsoft announces name of new version of Windows: Vista,not-clickbait
17 Unexpectedly Useful Gift Ideas For Procrastinators,clickbait
21 Things Only Costco Food Lovers Will Understand,clickbait
Farmers hunt for missing bull semen,not-clickbait
Katrina raised gas prices higher than ever,not-clickbait
Anniversaries for Tibet and Tiananmen Square Have China on Edge,not-clickbait
We Need To Talk About Peanut Butter Baby Right Now,clickbait
Corruption blamed for Papuan rainforest destruction,not-clickbait
24 Toys '90s Girls Forgot They Lusted After,clickbait
11 MPs ejected from Australian parliament,not-clickbait
How Well Do You Remember The Names Of These '00 Disney Online Games,clickbait
21 Reasons There Will Never Be Another Abby Wambach,clickbait
Public health officials advise on rising flu levels in Texas 2013/2014 season,not-clickbait
Over 700 killed after earthquake in Indonesia,not-clickbait
The History Of Chocolate Will Make You Want To Go Out And Get A Bar Right Now,clickbait
21 Texts Everyone Who Is Anxious Has Definitely Sent,clickbait
This 70-Year-Old Woman's Reason For Being Single Will Give You A Whole New Level Of Goals,clickbait
Wikinews interviews a Restore the Fourth organizer,not-clickbait
How Well Do You Know '00s Teen Movie Quotes,clickbait
Which Taylor Swift Song Is Actually About Your Life,clickbait
Japan Shrine Offering Angers China,not-clickbait
Should You Be Allowed To Have A Dog,clickbait
N.B.A. and Union Are Discussing New Labor Deal,not-clickbait
What's The Weirdest Punishment You Got As A Kid,clickbait
Citi Directors Face Angry and Critical Investors,not-clickbait
Medtronic Links 13 Deaths to Faulty Heart Device,not-clickbait
Uni defeat Nambor as 2013 Sunshine Coast Rugby Union season ends,not-clickbait
900 oil refinery workers fired after strike at Lindsey,not-clickbait
Italian court overturns law preventing trial of Prime Minister Berlusconi,not-clickbait
"On Sixth Try, Endeavour Lifts Off",not-clickbait
16 Weird Relationship Milestones,clickbait
This Is What Over 100 Years Of Girl Scouts Looks Like,clickbait
"Katniss Tells Johanna That Snow Has To Die In This Exclusive ""Hunger Games"" Clip",clickbait
Rangers Pull Ahead of the Canadiens,not-clickbait
More Questions Than Answers at French Open Draw,not-clickbait
Everything You Need To Know About Homemade Popcorn Crunchie Bars,clickbait
Poll shows former U.S. Speaker Newt Gingrich as latest GOP presidential frontrunner,not-clickbait
"There Is A New Version Of ""Anaconda"" Proving Nicki Minaj Is Still Queen",clickbait
Wikinews interviews Dr. Michael Mazilu on creating world's fastest spinning manmade object,not-clickbait
1 Terrible Photoshop Of Regis Philbin In Princess Leia's Bikini,clickbait
23 Things You Probably Shouldn't Say To Someone With Depression,clickbait
Investor Group  Takes Madoff to Bankruptcy Court,not-clickbait
"Which Character From ""Arrested Development"" Are You Based On Your Zodiac",clickbait
"Despite Fall, German Pair Win Skating Championship",not-clickbait
New Board Struggles to Keep Satyam Afloat,not-clickbait
"Sarah Jessica Parker Had Trouble Not Judging Her ""Sex And The City"" Character",clickbait
Palestinian Campus Looks to East Bank (of Hudson),not-clickbait
18 Iconic Kim Kardashian Tweets That Are Only 4 Words,clickbait
Tarantino wades through Manila floods,not-clickbait
Drought stricken Somalia nears famine,not-clickbait
Only Solve This Crossword If You Love Halloween,clickbait
11 Underrated Grammy Nominees You Should Add To Your Playlists,clickbait
This 3 Minute Christmas Hallmark Movie Is Hilarious,clickbait
Australian governments to spend $1.1 billion on mental health,not-clickbait
Which Current Disney Channel Show Are You,clickbait
21 Things You'll Understand If You Think Fancy Dress Is A Complete Shit Show,clickbait
28 Chocolate And Peanut Butter Treats That Are Even Better Than Reese's,clickbait
Wade Scores 55 Points to Add to Highlight Reel,not-clickbait
Women Discuss Kissing On First Dates,clickbait
A Mexican Tradition Runs on Pageantry and Faith,not-clickbait
The 14 Most Influential Canadian Animals Of 2015,clickbait
Goldman Settles Subprime Complaint in Massachusetts,not-clickbait
American Santas Try Mince Pies,clickbait
Suicidal man pushed off Chinese bridge,not-clickbait
Gillibrand named as Clinton's Senate replacement,not-clickbait
7 Healthy Eating Tricks That Are Actually So Easy,clickbait
"China, UN rebuke North Korea for rocket launch",not-clickbait
Paris Hilton released from jail,not-clickbait
Did You Prefer The Broadway Show Or The Movie,clickbait
Liam Payne's Shirtless Selfie Is Causing Mass Hysteria,clickbait
Kata Air An-32 crashes - all presumed dead,not-clickbait
Will You Look At Water The Same Way After Watching This,clickbait
"Carrie Fisher's Daughter Is In The New ""Star Wars"" Movie Rocking Leia Buns",clickbait
"We Can Thank ""Unbreakable Kimmy Schmidt"" For Pizza Rat Boulevard",clickbait
21 Of The Most Ridiculously Cute British And Irish Baby Names,clickbait
"A Pug And A Frenchie Recreated ""Lady And The Tramp"" And It Was Beautiful",clickbait
The Eyeshade Smelled Trouble,not-clickbait
UK study claims men have higher average I.Q. than women,not-clickbait
Yankees Rally to Beat Lidge and Phillies in Ninth,not-clickbait
The Try Guys Ruin Your Childhood (With Weird Costumes),clickbait
Read Santa Clara marks tenth anniversary,not-clickbait
"Aziz Ansari Is Vacationing In India With His Dad, And The Instagrams Are Hilarious",clickbait
Taraji P. Henson Has The Most Perfect Reactions To Being Caught On Camera When She Sings,clickbait
12 Celebrities With Guy Fieri's Hair,clickbait
Judge delays exit exam decision until Friday,not-clickbait
57 Ways People With Eating Disorders Got Well,clickbait
"What ""Force Awakens"" Fan Art Should We Draw",clickbait
Market maker Bernard L. Madoff arrested in $50B 'giant Ponzi scheme',not-clickbait
Kristen Bell And Dax Shepard Dancing Through Africa Will Restore Your Faith In Love,clickbait
"Anglo American Cuts 19,000 Jobs",not-clickbait
Creator of website satirizing Glenn Beck on winning domain name case,not-clickbait
12 Insanely Easy DIY Christmas Treats That'll Spread Some Holiday Cheer,clickbait
Can You Guess The Studio Ghibli Film Based On The Background,clickbait
Pigskin A Blanket: NFL Week 3 Picks,clickbait
What Is Your Sex IQ,clickbait
"11 Times Helena From ""Orphan Black"" Was Too Cute To Be A Psychopath",clickbait
19 Confessions That Capture What It Feels Like To Be Insecure In A Relationship,clickbait
Notre Dame Routs Louisville to End Seven-Game Skid,not-clickbait
Round 1 Ticket Holders to Get Rain Checks or Refunds,not-clickbait
What Date Would Zac Efron Take You On,clickbait
Here's Why The McFlurry Spoon Looks The Way It Does,clickbait
Skull study supports theory of human origin in Africa,not-clickbait
16 Gourmet Pizzas That Put Cheese And Pepperoni To Shame,clickbait
Drake Got Sad When He Found Out Justin Bieber Instagrammed An Old Picture Of Jelena,clickbait
Wimbledon Officials receive criticism from animal rights group after shooting birds,not-clickbait
Switch to Digital TV Broadcasts Is a Work in Progress,not-clickbait
"""Game Of Thrones"" Drawn As ""Bob's Burgers"" Characters Is The Crossover You Need",clickbait
Lapp Plats becomes first firm to float on IEX,not-clickbait
5 Charts That Will Make You Feel Terrible For Bond Girls,clickbait
Can You Guess The Bollywood Celebrity From Just A Childhood Picture,clickbait
Republicans seek to reduce ethics rules,not-clickbait
16 Texts You Might Actually Get From Your Birth Control,clickbait
For Everyone Who Wasn't Allowed To Celebrate Halloween,clickbait
U.S. to Pledge $40 Million for Afghanistan Elections,not-clickbait
Can We Guess Your Personality Based On Your Favorite Dog,clickbait
"Dead children found in car in Sussex, UK",not-clickbait
"Which ""Halloweentown"" Movie Would You Have Starred In",clickbait
"British FTSE index reaches one-year high, other European markets rise",not-clickbait
2010 Chile earthquakes: Government confirms 452 dead,not-clickbait
Google now worth over $80 billion,not-clickbait
A Call for Smarter Regulation,not-clickbait
FARC second-in-command killed by Colombian military,not-clickbait
17 Heartbreaking Confessions From College Students Who Suffer From Depression,clickbait
Canada Drops W.T.O. Complaint Against Europe,not-clickbait
We Had People Try The Smelliest Fruit In The World,clickbait
It's Mid-October And There Was Already A Snowstorm In Ontario,clickbait
Canadian PM survives confidence votes,not-clickbait
Here's Everything You Need To Know About This Year's Best Picture Nominees,clickbait
7 Reasons Rey Is Definitely Luke Skywalker's Daughter,clickbait
Rebels Raid Sri Lankan Capital,not-clickbait
65-year-old woman arrested over the death of two Mexican wrestlers,not-clickbait
Iranian opposition group declares all acts of current government void,not-clickbait
Everyone Needs To Read This Facebook Post About America's Muslims And Sikhs,clickbait
How Exactly Do You Make An Animal Collective Album,clickbait
Suresh Joachim breaks ironing world record,not-clickbait
13 Kids Who Have Wayyy More Swag Than You,clickbait
Euro reaches one-year low against US dollar,not-clickbait
"Teen charged with seven felonies related to threats made on Wikipedia, Wikinews interviews administrator who contacted police",not-clickbait
Wikinews interviews Finnish 'Rock 'N' Troll' band Kivimetsän Druidi,not-clickbait
What Happens When Kids Are Given The Choice Between Household Chemicals Or Toys,clickbait
"Can We All Work Out How The Hell ""London Spy"" Is Going To End",clickbait
Balloonist to establish Trans-Atlantic Crossing record,not-clickbait
French Open: Stosur and Schiavone to compete in women's final; Nadal to meet Soderling in men's final,not-clickbait
17 Confessions Of People Who Were Dumped In The Worst Ways,clickbait
Independent Film Service on Shopping Spree at Sundance,not-clickbait
18 McDonald's Hacks That Are Definitely Worth Trying,clickbait
Serbia and Montenegro military announces mandatory service shortening,not-clickbait
Afghan Taleban attacks NATO base; several dead,not-clickbait
24 Pictures That'll Give You Mildly Traumatic School Flashbacks,clickbait
24 Disappointing White Elephant Gifts People Have Actually Ended Up With,clickbait
Are You More Darth Vader Or Luke Skywalker,clickbait
Herman Cain: SimCity rumor 'a lie',not-clickbait
"14 Incredible ""Game Of Thrones"" Tattoos That Are To Die For",clickbait
Can You Guess The Christmas Song From Just One Lyric,clickbait
Betancourt calls for release of all FARC hostages,not-clickbait
Helicopter crash in Turkey kills six,not-clickbait
Longest Serving Cricket Umpire to Retire,not-clickbait
Which Movie Do You Think Is Most Honest About Depression,clickbait
A Peaking Tiger Woods,not-clickbait
Finnish police isolate ports in Helsinki,not-clickbait
UK government sued over deaths in 2006 Nimrod crash in Afghanistan,not-clickbait
2 Are Approved for Justice Dept.,not-clickbait
A Mountain Lion Just Climbed A Utility Pole In California And Stayed There,clickbait
"19 Times Val From ""Dancing With The Stars"" Proved He Was Husband Material",clickbait
17 Mouthwatering Holiday Mains For Vegetarians,clickbait
Restore Order and Win a Financial War,not-clickbait
Celebrity Halloween Costumes: 2015 Edition,clickbait
Carriers Sweeten the Deal for Prepaid Cellphones,not-clickbait
This Story Of A Cancer Survivor Getting Her First Haircut Goes From Zero To Feels Real Fast,clickbait
Leonardo DiCaprio Vaped At The SAG Awards And The Internet Lost Its Mind,clickbait
"No, The DMV Is Not The Most Hated Government Service (According To Yelp)",clickbait
"Do You Remember These Details From The First Episode Of ""Gilmore Girls""",clickbait
Scottish Radio Holdings set to buy Highland Radio for €7m,not-clickbait
A Genius Figured Out How To Take The Perfect Selfie With Your Dog,clickbait
Here's The First Look At Benedict Cumberbatch As Doctor Strange,clickbait
Iraqi President Sets Off Talk on Role of Iraqi Kurds,not-clickbait
US government shutdown averted in last-minute deal,not-clickbait
Protests Flare in Tehran as Opposition Disputes Vote,not-clickbait
Mickelson Has No Time to Dwell on a Tough Loss,not-clickbait
Masterminds of USS Cole and Limburg bombings escape from Yemeni prison,not-clickbait
"20 Times ""Bones"" Got Way, Way Too Real",clickbait
Bonus Cuts Hurting More Than Top Wall Streeters,not-clickbait
Picasso prints stolen from Brazilian museum,not-clickbait
"Locals and officer claim to have seen a UFO in Charlotte, North Carolina",not-clickbait
Internet pirates want their own nation,not-clickbait
France sends special envoy to North Korea,not-clickbait
25 Perfect Outfits To Wear For A Fall Wedding,clickbait
Should You Be A Fan Of 5SOS Or The 1975,clickbait
21 Times We All Fell Head Over Heels For Oscar Isaac,clickbait
"There Is No Wrong Time To Listen To ""All I Want For Christmas Is You""",clickbait
Ferry collision on the river Mersey,not-clickbait
Myanmar Releases 19 in Amnesty,not-clickbait
Dissident meeting held in Cuba,not-clickbait
Murray and Federer Advance to Second Round of Australian Open,not-clickbait
13 Ways To Prove You're Way More Interesting Than The Stupid Super Bowl,clickbait
Argentina Decides to Move Up Its Elections,not-clickbait
"Five biggest US banks told to raise $74.6 billion; fail ""stress tests""",not-clickbait
Oh My God Drake Has Literally Never Been Hotter In His Whole Damn Life,clickbait
Canadians: Can You Tell If This Photo Was Taken In The Afternoon Or At Night,clickbait
27 Excellent Reasons To Be Happy,clickbait
"June jobs report shows rising US unemployment, economic outlook worsens",not-clickbait
Obama Tactic Shields Health Care Bill From a Filibuster,not-clickbait
Which One Direction Music Video Is Your Favorite,clickbait
Tibetans demand that China release Panchen Lama boy,not-clickbait
15 Things That Marwaris Are Tired Of Hearing,clickbait
Adele The Frenchie Wants To Say Hello,clickbait
You Need To Tell Us If These Things Are Sandwiches,clickbait
Conrad Black loses appeal against fraud conviction,not-clickbait
This Guy Keeps Editing Himself Into Celebrities' Instagrams And It's Pretty Funny,clickbait
Someone Needs To Invent This App That Plays Nickelback Songs To Stop You From Stalking Your Ex Online,clickbait
25 Faces Everyone Who's Home For Thanksgiving Will Recognize,clickbait
Former US Senator Ted Stevens among five killed in Alaska plane crash,not-clickbait
How Do You Get Freaky Sharp Concentration,clickbait
"2008 YODEX: The first-ever ""Wow! Taiwan Design Competition"" announced",not-clickbait
Only Solve This Puzzle If You Get A Little Too Into Pop Culture,clickbait
Show Us Your Geeky-Inspired Tattoos,clickbait
12 Charts Everyone Who Has Lived In A Dorm Will Understand,clickbait
"Samuel L. Jackson Has Some Issues With The Lightsaber Battles In ""The Force Awakens""",clickbait
TNT blamed for Chinese karaoke bar explosion that killed 25,not-clickbait
TEST PAGE:Self-publish today,not-clickbait
Plane crash in northern Afghanistan kills at least 43,not-clickbait
British Airways give medals to Flight 38's crew,not-clickbait
